price,area,level,market,building,num_of_rooms,city,district,price_per_m2
460000.0,46.0,4,Wtórny,Blok,2 pokoje,Bydgoszcz,-,10000.0
505000.0,39.02,3,Wtórny,Blok,2 pokoje,Bydgoszcz,-,12942.0
180000.0,23.0,0,Wtórny,Kamienica,1 pokój,Bydgoszcz,-,7826.0
289000.0,47.1,2,Wtórny,Blok,3 pokoje,Bydgoszcz,-,6136.0
325000.0,37.2,9,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8737.0
299000.0,45.0,2,Wtórny,Pozostałe,2 pokoje,Bydgoszcz,-,6644.0
485000.0,66.6,0,Wtórny,Blok,3 pokoje,Bydgoszcz,-,7282.0
799448.0,76.87,2,Pierwotny,Blok,4 i więcej,Bydgoszcz,-,10400.0
664277.0,65.77,0,Pierwotny,Blok,4 i więcej,Bydgoszcz,-,10100.0
703698.0,68.99,2,Pierwotny,Blok,4 i więcej,Bydgoszcz,-,10200.0
370000.0,42.2,0,Wtórny,Blok,2 pokoje,Bydgoszcz,-,8768.0
390000.0,63.36,0,Wtórny,Blok,3 pokoje,Bydgoszcz,-,6155.0
560000.0,83.0,2,Wtórny,Kamienica,3 pokoje,Bydgoszcz,-,6747.0
1080000.0,117.0,2,Wtórny,Blok,4 i więcej,Bydgoszcz,-,9231.0
510000.0,61.0,7,Wtórny,Blok,3 pokoje,Białystok, Sienkiewicza,8361.0
600000.0,48.28,1,Wtórny,Blok,2 pokoje,Białystok, Piasta I,12428.0
749000.0,60.8,2,Wtórny,Blok,3 pokoje,Białystok, Wygoda,12319.0
440000.0,50.0,3,Wtórny,Blok,2 pokoje,Białystok, Centrum,8800.0
620000.0,64.7,3,Wtórny,Blok,3 pokoje,Białystok, Kawaleryjskie,9583.0
420000.0,40.2,6,Wtórny,Blok,2 pokoje,Białystok, Nowe Miasto,10448.0
519000.0,52.0,3,Wtórny,Blok,3 pokoje,Białystok, Centrum,9981.0
765000.0,68.0,6,Wtórny,Blok,3 pokoje,Białystok, Wysoki Stoczek,11250.0
560000.0,60.2,3,Wtórny,Blok,3 pokoje,Białystok, Sienkiewicza,9302.0
1500000.0,110.1,1,Wtórny,Blok,3 pokoje,Białystok, Bema,13624.0
450000.0,37.0,2,Wtórny,Blok,2 pokoje,Białystok, Białostoczek,12162.0
749000.0,60.0,1,Pierwotny,Blok,3 pokoje,Białystok, Białostoczek,12483.0
579000.0,56.2,1,Wtórny,Blok,3 pokoje,Białystok, Piaski,10302.0
740000.0,73.0,10,Wtórny,Blok,3 pokoje,Białystok, Centrum,10137.0
524000.0,49.0,0,Wtórny,Blok,3 pokoje,Białystok, Nowe Miasto,10694.0
819000.0,65.0,5,Wtórny,Blok,2 pokoje,Białystok, Centrum,12600.0
699000.0,46.0,1,Wtórny,Kamienica,2 pokoje,Białystok, Centrum,15196.0
489900.0,44.0,0,Wtórny,Blok,3 pokoje,Białystok, Piaski,11134.0
480000.0,60.0,1,Wtórny,Blok,3 pokoje,Białystok, Wysoki Stoczek,8000.0
580000.0,60.0,3,Wtórny,Blok,4 i więcej,Białystok, Słoneczny Stok,9667.0
370000.0,35.0,4,Wtórny,Blok,2 pokoje,Białystok, Centrum,10571.0
485000.0,38.0,5,Wtórny,Apartamentowiec,2 pokoje,Białystok, Sienkiewicza,12763.0
527900.0,48.2,1,Pierwotny,Apartamentowiec,2 pokoje,Białystok, Skorupy,10952.0
759000.0,66.37,3,Wtórny,Apartamentowiec,4 i więcej,Białystok, Bojary,11436.0
454000.0,39.0,3,Wtórny,Blok,3 pokoje,Białystok, Piasta II,11641.0
447900.0,39.0,3,Wtórny,Blok,3 pokoje,Białystok, Piasta II,11485.0
585000.0,46.0,2,Wtórny,Blok,2 pokoje,Białystok, Wygoda,12717.0
2800000.0,252.2,7,Wtórny,Blok,4 i więcej,Białystok, Bema,11102.0
399000.0,43.1,2,Wtórny,Blok,2 pokoje,Białystok, Mickiewicza,9258.0
510000.0,60.0,4,Wtórny,Blok,3 pokoje,Białystok, Sienkiewicza,8500.0
409000.0,47.5,4,Wtórny,Blok,2 pokoje,Białystok, Mickiewicza,8611.0
609000.0,52.05,7,Wtórny,Apartamentowiec,3 pokoje,Białystok, Nowe Miasto,11700.0
424900.0,40.0,3,Wtórny,Blok,2 pokoje,Białystok, Bojary,10622.0
660000.0,33.36,6,Wtórny,Apartamentowiec,2 pokoje,Białystok, Centrum,19784.0
599000.0,48.1,1,Wtórny,Blok,2 pokoje,Białystok, Centrum,12453.0
600000.0,50.6,1,Wtórny,Blok,3 pokoje,Białystok, Nowe Miasto,11858.0
345000.0,32.1,8,Wtórny,Blok,1 pokój,Białystok, Centrum,10748.0
649000.0,69.9,4,Wtórny,Blok,3 pokoje,Białystok, Centrum,9285.0
655000.0,59.43,1,Wtórny,Blok,3 pokoje,Białystok, Wygoda,11021.0
320000.0,33.0,2,Wtórny,Pozostałe,2 pokoje,Białystok, Bema,9697.0
570000.0,45.6,2,Wtórny,Blok,2 pokoje,Białystok, Białostoczek,12500.0
579000.0,61.3,1,Pierwotny,Blok,3 pokoje,Białystok, Centrum,9445.0
399000.0,36.3,3,Wtórny,Blok,2 pokoje,Białystok, Centrum,10992.0
335000.0,36.0,3,Wtórny,Blok,2 pokoje,Białystok, Młodych,9306.0
475000.0,35.0,0,Wtórny,Kamienica,1 pokój,Białystok, Centrum,13571.0
485000.0,54.0,2,Wtórny,Blok,2 pokoje,Białystok, Antoniuk,8981.0
478000.0,44.3,3,Wtórny,Blok,2 pokoje,Białystok, Wygoda,10790.0
285000.0,30.6,2,Wtórny,Blok,1 pokój,Białystok, Centrum,9314.0
625000.0,61.3,3,Wtórny,Blok,3 pokoje,Białystok, Kawaleryjskie,10196.0
529750.0,40.0,9,Wtórny,Blok,3 pokoje,Białystok, Sienkiewicza,13244.0
398000.0,31.7,0,Wtórny,Pozostałe,2 pokoje,Białystok, Zawady,12555.0
354000.0,33.0,1,Wtórny,Blok,2 pokoje,Białystok, Piasta I,10727.0
360000.0,37.0,4,Wtórny,Blok,2 pokoje,Białystok, Centrum,9730.0
545000.0,60.0,8,Wtórny,Blok,4 i więcej,Białystok, Bema,9083.0
459000.0,48.0,3,Wtórny,Blok,3 pokoje,Białystok, Piasta I,9562.0
435360.0,36.28,0,Wtórny,Apartamentowiec,2 pokoje,Białystok, Bojary,12000.0
610000.0,61.6,4,Wtórny,Blok,3 pokoje,Białystok, Sienkiewicza,9903.0
710000.0,56.31,4,Wtórny,Blok,3 pokoje,Białystok, Bojary,12609.0
